TransactionAmount,TransactionType,Location,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,transaction_hour,transaction_day,transaction_month,days_since_last_transaction,Channel_ATM,Channel_Branch,Channel_Online,CustomerOccupation_Doctor,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student
96.54,1,0.024390243902439025,58,95,1,7182.22,17,0,3,602,0,1,0,0,0,1,0
185.97,1,0.02538576406172225,23,19,1,1776.91,16,4,2,619,0,0,1,0,0,0,1
20.17,1,0.0233947237431558,77,86,1,3869.37,16,0,1,672,1,0,0,0,0,1,0
1026.46,1,0.0273768043802887,53,165,1,3134.47,16,2,6,502,0,1,0,0,0,1,0
792.57,1,0.018914883026381283,19,164,1,770.37,16,0,5,532,1,0,0,0,0,0,1
115.92,1,0.022896963663514187,53,57,1,3897.17,18,1,1,657,1,0,0,0,0,1,0
743.03,1,0.024390243902439025,50,174,1,4111.38,16,3,7,466,1,0,0,0,1,0,0
40.9,1,0.02538576406172225,55,37,1,1514.34,18,3,6,522,1,0,0,1,0,0,0
865.17,1,0.023892483822797413,24,161,1,9297.5,17,3,12,333,0,1,0,0,0,0,1
653.97,1,0.02538576406172225,37,100,1,3886.65,17,2,10,397,0,0,1,0,1,0,0
201.69,1,0.022399203583872575,59,299,1,7328.52,16,1,1,671,1,0,0,1,0,0,0
100.27,1,0.02538576406172225,79,51,1,4309.9,17,0,7,483,0,0,1,0,0,1,0
199.54,1,0.015430562468889995,56,268,1,9603.73,17,1,10,391,0,0,1,0,1,0,0
293.85,1,0.02538576406172225,25,144,1,1919.97,16,3,8,452,0,0,1,0,0,0,1
21.21,1,0.022399203583872575,55,37,1,9575.42,16,0,12,336,0,0,1,0,1,0,0
7.56,1,0.023892483822797413,40,145,1,8528.72,16,0,2,637,1,0,0,1,0,0,0
262.06,1,0.02687904430064709,63,118,1,13587.52,16,0,9,420,0,1,0,1,0,0,0
209.09,1,0.021901443504230962,48,203,1,9100.81,18,1,11,363,1,0,0,1,0,0,0
166.68,1,0.0233947237431558,57,139,1,5141.19,18,0,3,588,1,0,0,0,0,1,0
141.91,1,0.02538576406172225,23,49,1,791.97,17,3,1,655,0,1,0,0,0,0,1
206.84,1,0.0273768043802887,20,154,1,454.66,18,2,9,418,0,1,0,0,0,0,1
171.16,1,0.024390243902439025,51,42,1,6126.5,16,3,9,403,0,0,1,0,0,1,0
15.74,1,0.02538576406172225,27,38,1,690.16,16,0,1,665,0,1,0,0,0,0,1
46.12,1,0.02538576406172225,59,30,1,8874.01,17,0,6,518,0,1,0,1,0,0,0
160.52,0,0.02040816326530612,78,112,1,5379.25,16,0,8,455,1,0,0,0,0,1,0
212.14,1,0.023892483822797413,72,105,1,7225.06,17,0,8,448,0,1,0,0,0,1,0
407.65,1,0.02538576406172225,26,62,1,8346.64,16,4,7,486,0,0,1,0,1,0,0
65.11,1,0.022399203583872575,34,150,1,8485.14,16,3,9,424,1,0,0,0,1,0,0
45.77,1,0.0273768043802887,25,109,1,5978.12,17,3,2,634,0,0,1,0,0,0,1
58.94,1,0.02538576406172225,30,26,1,4575.98,16,0,1,658,0,0,1,0,1,0,0
885.33,0,0.022896963663514187,47,59,1,7764.16,18,1,8,440,1,0,0,0,1,0,0
88.29,0,0.023892483822797413,50,287,1,5245.93,16,4,1,654,0,0,1,0,1,0,0
757.1,1,0.02140368342458935,65,203,1,10553.23,17,0,1,651,0,1,0,1,0,0,0
69.28,1,0.0273768043802887,25,129,1,708.74,16,0,10,371,0,0,1,0,0,0,1
281.47,1,0.0273768043802887,34,142,1,4437.48,17,4,8,444,1,0,0,0,1,0,0
124.35,1,0.02687904430064709,72,90,1,3319.76,16,4,12,332,1,0,0,0,0,1,0
211.69,1,0.02140368342458935,30,111,1,6412.85,16,4,10,381,0,1,0,1,0,0,0
1282.86,1,0.023892483822797413,19,68,1,1830.98,16,0,5,539,0,1,0,0,0,0,1
144.93,1,0.02538576406172225,42,74,1,6887.52,16,1,5,538,0,1,0,0,1,0,0
206.63,0,0.02687904430064709,59,128,1,7626.53,16,3,12,333,0,0,1,0,0,1,0
609.52,1,0.018914883026381283,78,169,1,3485.03,16,4,7,465,1,0,0,0,0,1,0
51.0,1,0.0273768043802887,64,107,1,4943.16,16,0,1,644,0,1,0,0,0,1,0
583.3,0,0.022399203583872575,59,142,1,5896.01,16,4,2,640,0,0,1,0,1,0,0
53.57,1,0.023892483822797413,69,121,1,1651.33,16,2,8,446,1,0,0,0,0,1,0
362.04,0,0.0273768043802887,58,198,2,8421.88,16,0,7,483,0,1,0,1,0,0,0
33.46,1,0.0273768043802887,72,111,1,3641.07,16,0,2,623,1,0,0,0,0,1,0
241.45,1,0.015430562468889995,26,158,1,1594.04,16,0,7,469,0,0,1,0,0,0,1
388.77,0,0.02040816326530612,26,30,1,1658.49,16,0,12,329,0,0,1,0,0,0,1
386.68,1,0.024390243902439025,46,128,1,6863.06,16,1,10,370,0,1,0,1,0,0,0
1.93,1,0.024888003982080638,47,175,5,5684.09,18,3,10,382,0,1,0,1,0,0,0
684.5,1,0.02687904430064709,29,76,1,6258.63,18,0,7,462,0,1,0,1,0,0,0
466.85,1,0.023892483822797413,56,165,1,5422.53,16,0,7,476,0,1,0,0,0,1,0
243.08,0,0.02040816326530612,24,93,1,131.25,16,1,2,629,0,0,1,0,0,0,1
209.02,1,0.01841712294673967,21,74,1,187.9,17,4,3,612,1,0,0,0,0,0,1
26.27,0,0.015430562468889995,45,177,1,8853.93,16,4,3,598,0,0,1,0,1,0,0
374.61,0,0.0233947237431558,75,37,1,1389.71,18,1,8,433,0,0,1,0,0,1,0
896.79,1,0.02140368342458935,33,168,1,11146.74,16,0,11,364,0,0,1,1,0,0,0
97.74,0,0.0273768043802887,41,137,1,4113.63,16,0,9,427,0,0,1,0,1,0,0
35.99,1,0.02538576406172225,63,129,1,4489.79,16,3,1,655,0,1,0,0,0,1,0
641.06,1,0.022399203583872575,23,25,1,1602.13,16,0,12,329,1,0,0,0,0,0,1
637.75,1,0.02140368342458935,79,152,1,4202.92,16,0,7,469,0,1,0,0,0,1,0
106.41,1,0.0273768043802887,57,87,1,1310.38,16,0,1,658,0,1,0,0,0,1,0
1096.7,1,0.022399203583872575,24,147,1,1093.89,16,0,3,588,0,0,1,0,0,0,1
1.14,1,0.0233947237431558,43,137,1,13913.92,16,0,10,378,0,1,0,1,0,0,0
146.15,1,0.0233947237431558,43,75,1,13784.4,17,4,1,668,0,1,0,1,0,0,0
142.55,1,0.02538576406172225,67,97,1,1262.68,16,1,5,538,0,0,1,1,0,0,0
103.76,1,0.02538576406172225,28,188,1,9626.14,16,2,3,586,0,0,1,0,1,0,0
201.33,0,0.022399203583872575,42,186,1,2585.07,17,2,3,586,0,1,0,0,1,0,0
261.63,1,0.024888003982080638,20,150,1,477.03,18,0,5,525,0,1,0,0,0,0,1
147.46,0,0.017421602787456445,65,205,1,7458.03,16,3,10,389,0,0,1,1,0,0,0
504.12,0,0.018914883026381283,25,101,1,1107.28,17,4,4,570,0,1,0,0,0,0,1
77.57,1,0.02140368342458935,49,225,1,12801.93,17,2,12,327,0,0,1,1,0,0,0
523.74,1,0.02687904430064709,43,159,1,13498.55,16,3,11,368,1,0,0,1,0,0,0
395.16,1,0.023892483822797413,56,17,1,5340.73,16,0,7,469,0,0,1,0,0,1,0
316.37,1,0.022399203583872575,53,86,1,4671.69,17,0,8,434,1,0,0,0,1,0,0
31.81,1,0.02687904430064709,51,149,1,1406.6,17,3,4,578,0,0,1,0,0,1,0
148.0,1,0.02687904430064709,20,35,1,1488.65,16,0,1,651,0,1,0,0,0,0,1
406.65,1,0.0233947237431558,57,107,1,12995.7,18,2,11,362,1,0,0,1,0,0,0
417.8,0,0.0273768043802887,27,130,1,1518.82,16,0,6,497,0,1,0,0,0,0,1
422.14,0,0.017421602787456445,26,109,1,1436.32,17,4,11,353,0,1,0,0,0,0,1
86.41,1,0.02538576406172225,75,125,1,3128.71,17,0,3,588,1,0,0,0,0,1,0
643.22,1,0.02140368342458935,64,93,1,1035.86,17,2,5,551,1,0,0,1,0,0,0
92.36,1,0.02140368342458935,29,144,1,6353.14,16,0,3,588,1,0,0,0,1,0,0
327.35,0,0.0233947237431558,20,175,1,342.08,18,0,9,406,0,1,0,0,0,0,1
886.19,1,0.022399203583872575,61,69,1,7904.24,17,0,8,441,0,1,0,0,0,1,0
34.74,1,0.0233947237431558,56,24,1,6827.57,16,0,6,497,1,0,0,0,0,1,0
830.01,0,0.024888003982080638,66,96,1,4253.18,16,4,7,472,0,0,1,0,0,1,0
521.81,1,0.021901443504230962,47,34,1,4750.96,17,3,11,354,1,0,0,0,1,0,0
115.02,1,0.0233947237431558,37,175,1,7643.66,16,0,9,420,0,1,0,1,0,0,0
42.56,1,0.02538576406172225,18,146,1,4361.44,16,0,7,462,0,0,1,0,0,0,1
277.7,1,0.022399203583872575,58,107,1,1423.2,16,3,6,501,0,1,0,0,1,0,0
54.5,0,0.0273768043802887,57,147,1,1715.22,16,2,11,348,0,1,0,0,0,1,0
1063.25,0,0.024888003982080638,21,128,1,1240.71,16,1,1,657,0,0,1,0,0,0,1
603.23,1,0.025883524141363863,28,48,1,117.98,17,3,8,438,0,1,0,0,0,0,1
737.34,1,0.02538576406172225,30,34,1,7336.56,17,0,3,595,0,0,1,1,0,0,0
411.47,1,0.02687904430064709,26,120,1,796.63,16,0,12,315,1,0,0,0,0,0,1
100.99,1,0.024390243902439025,68,114,1,8865.27,16,0,5,525,1,0,0,1,0,0,0
5.76,1,0.023892483822797413,38,164,1,5859.79,17,0,8,434,0,1,0,0,1,0,0
399.21,1,0.015430562468889995,59,109,1,3210.39,16,0,1,644,1,0,0,0,1,0,0
68.28,1,0.02538576406172225,56,293,1,3213.16,18,3,6,515,0,0,1,0,1,0,0
213.28,1,0.0233947237431558,51,94,1,4835.91,18,0,12,315,0,1,0,0,0,1,0
145.4,1,0.02687904430064709,38,24,1,5244.49,17,3,7,487,0,0,1,0,1,0,0
347.63,0,0.024888003982080638,25,272,1,1400.04,16,2,12,327,0,0,1,0,0,0,1
216.03,1,0.02538576406172225,42,300,1,10462.77,18,4,10,374,1,0,0,1,0,0,0
1116.48,1,0.02538576406172225,51,55,1,447.53,17,0,9,413,1,0,0,0,1,0,0
331.98,1,0.02538576406172225,74,12,1,7600.99,16,0,8,434,1,0,0,0,0,1,0
79.21,1,0.022399203583872575,56,140,1,1615.04,17,4,11,346,0,1,0,0,0,1,0
233.71,1,0.02040816326530612,19,297,1,1231.98,17,0,3,602,0,0,1,0,0,0,1
501.3,0,0.0233947237431558,26,146,1,8520.08,18,0,5,532,0,0,1,0,1,0,0
32.54,1,0.02687904430064709,25,183,4,1544.88,16,1,7,489,0,0,1,0,0,0,1
78.5,0,0.023892483822797413,31,41,1,13991.5,16,1,2,629,0,1,0,1,0,0,0
338.69,1,0.021901443504230962,18,169,1,1137.89,18,0,10,378,0,1,0,0,0,0,1
332.93,0,0.017421602787456445,35,293,1,2788.2,16,0,11,350,0,1,0,0,1,0,0
469.46,1,0.024390243902439025,20,149,1,8640.56,18,2,11,362,1,0,0,0,0,0,1
64.21,1,0.024888003982080638,51,37,1,12540.18,16,0,1,665,1,0,0,1,0,0,0
28.63,1,0.02538576406172225,56,146,1,3382.91,17,0,8,441,0,1,0,0,0,1,0
471.84,1,0.022896963663514187,18,138,1,1044.33,17,4,9,402,1,0,0,0,0,0,1
110.4,0,0.02538576406172225,56,62,1,8639.36,16,3,9,410,1,0,0,1,0,0,0
345.84,1,0.02687904430064709,22,142,3,1402.5,18,1,5,552,0,0,1,0,0,0,1
35.76,1,0.02538576406172225,23,122,1,611.86,17,1,9,412,0,1,0,0,0,0,1
126.81,1,0.0273768043802887,26,290,1,5427.98,16,0,10,371,0,1,0,0,1,0,0
101.34,1,0.02538576406172225,24,46,1,703.26,17,4,3,612,1,0,0,0,0,0,1
153.55,1,0.02538576406172225,37,16,1,5619.91,17,2,11,362,0,0,1,1,0,0,0
117.66,0,0.0233947237431558,39,126,1,6794.17,18,3,8,459,0,1,0,1,0,0,0
325.98,1,0.018914883026381283,19,277,1,782.35,16,3,7,473,1,0,0,0,0,0,1
337.99,1,0.022399203583872575,70,115,1,9038.63,16,3,3,613,1,0,0,1,0,0,0
55.99,1,0.01841712294673967,35,95,1,932.61,16,0,11,357,1,0,0,1,0,0,0
467.13,0,0.02538576406172225,54,45,1,3914.84,17,3,9,403,0,1,0,0,0,1,0
336.84,1,0.018914883026381283,22,100,1,4500.26,17,1,3,608,1,0,0,0,0,0,1
1221.65,1,0.02538576406172225,27,153,1,243.92,16,2,9,404,0,0,1,0,0,0,1
29.58,1,0.022399203583872575,54,121,1,8345.26,17,0,10,371,0,1,0,0,1,0,0
124.59,1,0.02538576406172225,27,171,1,129.29,17,4,5,549,0,1,0,0,0,0,1
278.23,1,0.02538576406172225,48,83,1,8300.54,17,3,5,550,0,0,1,0,1,0,0
422.9,1,0.02687904430064709,40,111,1,7616.43,16,0,2,616,1,0,0,0,1,0,0
47.1,0,0.018914883026381283,42,178,1,6308.07,17,0,7,490,0,1,0,1,0,0,0
241.11,1,0.021901443504230962,30,55,1,12385.05,16,4,6,507,0,1,0,1,0,0,0
151.19,0,0.024390243902439025,37,96,1,11903.82,16,4,5,549,0,1,0,1,0,0,0
350.15,0,0.02538576406172225,21,195,1,296.47,16,0,11,343,1,0,0,0,0,0,1
154.24,1,0.0233947237431558,61,82,1,6109.55,16,0,11,364,1,0,0,0,0,1,0
339.35,0,0.02538576406172225,78,70,1,5002.7,16,4,2,640,1,0,0,0,0,1,0
70.68,1,0.01841712294673967,25,105,1,1478.41,17,2,11,348,0,0,1,0,0,0,1
406.33,0,0.02538576406172225,59,103,1,4298.34,16,0,10,399,0,1,0,0,1,0,0
414.64,1,0.0233947237431558,32,74,1,7253.22,16,0,4,581,0,1,0,1,0,0,0
33.65,0,0.024390243902439025,63,146,1,12719.93,17,0,9,413,0,0,1,1,0,0,0
19.48,1,0.02140368342458935,27,114,1,4739.59,16,0,7,483,1,0,0,0,1,0,0
668.67,1,0.025883524141363863,44,143,4,13446.81,17,1,11,363,0,0,1,1,0,0,0
103.08,1,0.0233947237431558,60,109,1,12002.16,16,1,11,356,0,0,1,1,0,0,0
362.09,1,0.024390243902439025,32,31,1,6590.28,16,0,2,616,0,1,0,0,1,0,0
305.27,1,0.022399203583872575,68,147,1,12958.65,16,2,9,404,0,0,1,1,0,0,0
131.69,0,0.02538576406172225,53,59,1,2958.43,16,0,10,385,0,1,0,0,1,0,0
192.23,1,0.017421602787456445,54,39,3,2610.67,16,3,12,312,0,0,1,0,1,0,0
39.41,1,0.017421602787456445,25,132,1,921.91,16,0,11,343,0,1,0,0,0,0,1
781.76,1,0.0233947237431558,26,123,1,189.69,16,0,11,350,1,0,0,0,0,0,1
109.3,1,0.02687904430064709,56,27,1,13510.11,16,2,8,460,0,1,0,1,0,0,0
344.97,1,0.023892483822797413,34,106,1,5577.94,17,0,3,595,0,0,1,1,0,0,0
539.81,1,0.0233947237431558,46,177,1,2051.25,16,1,2,622,0,0,1,0,1,0,0
739.28,0,0.02687904430064709,58,47,1,11905.64,16,0,6,504,0,1,0,1,0,0,0
444.52,1,0.017421602787456445,27,17,1,5424.6,16,1,4,580,0,0,1,0,1,0,0
485.54,1,0.017421602787456445,19,148,1,1533.32,16,4,12,332,0,0,1,0,0,0,1
77.83,0,0.02538576406172225,49,146,1,2471.53,16,2,12,313,0,1,0,0,1,0,0
98.71,1,0.02687904430064709,32,117,1,10095.23,17,0,9,413,1,0,0,1,0,0,0
55.12,0,0.023892483822797413,34,261,1,3791.99,16,0,9,413,0,0,1,0,1,0,0
926.53,1,0.023892483822797413,57,107,1,3120.1,17,4,11,346,1,0,0,0,1,0,0
350.72,0,0.02538576406172225,28,48,1,1982.9,16,2,8,460,1,0,0,0,0,0,1
13.71,0,0.02538576406172225,38,148,1,8342.79,17,1,5,524,0,0,1,0,1,0,0
248.66,1,0.024888003982080638,28,113,1,2571.39,17,4,2,640,0,0,1,0,1,0,0
99.25,0,0.0233947237431558,63,93,1,2570.34,16,0,6,497,0,0,1,0,0,1,0
384.1,1,0.025883524141363863,42,172,1,672.79,18,2,5,530,0,1,0,0,1,0,0
38.14,1,0.017421602787456445,19,174,1,1119.21,16,3,12,312,0,0,1,0,0,0,1
43.91,1,0.017421602787456445,27,86,1,1806.68,18,3,8,445,0,0,1,0,0,0,1
191.62,1,0.02040816326530612,63,51,1,1981.67,17,4,7,465,0,1,0,1,0,0,0
512.81,1,0.019910403185664508,79,30,1,6994.34,16,2,7,474,0,1,0,0,0,1,0
38.81,0,0.021901443504230962,25,145,1,1619.6,18,4,4,556,0,0,1,0,0,0,1
200.19,0,0.0233947237431558,52,108,1,4389.96,18,1,7,475,0,1,0,0,0,1,0
1283.97,1,0.022399203583872575,42,121,1,11041.9,17,2,8,453,1,0,0,1,0,0,0
193.54,1,0.02687904430064709,80,267,1,2929.51,16,1,10,377,0,1,0,0,0,1,0
466.64,1,0.022399203583872575,58,11,1,10915.11,16,0,9,427,1,0,0,1,0,0,0
166.13,1,0.024888003982080638,68,227,1,11822.53,17,2,9,425,1,0,0,1,0,0,0
292.08,1,0.021901443504230962,72,32,1,7950.48,18,4,12,311,1,0,0,0,0,1,0
106.23,0,0.025883524141363863,51,86,1,9095.14,16,1,3,594,0,1,0,0,1,0,0
11.46,1,0.024888003982080638,67,73,1,6628.75,16,0,10,392,0,0,1,0,0,1,0
12.23,1,0.023892483822797413,42,139,1,7844.88,16,3,10,389,1,0,0,0,1,0,0
361.46,1,0.022399203583872575,21,83,1,4737.84,17,4,4,577,0,0,1,0,0,0,1
438.04,1,0.0273768043802887,67,247,1,5358.95,18,3,8,438,1,0,0,0,0,1,0
306.9,1,0.022399203583872575,46,51,1,9418.08,16,3,11,340,0,0,1,0,1,0,0
307.68,0,0.025883524141363863,75,162,1,2052.84,17,2,1,656,0,0,1,0,0,1,0
63.34,0,0.025883524141363863,46,165,1,11174.94,16,4,11,353,0,0,1,1,0,0,0
888.57,1,0.0233947237431558,62,102,1,7896.14,16,1,6,510,0,0,1,0,0,1,0
732.53,0,0.023892483822797413,26,116,1,441.54,16,0,5,532,1,0,0,0,0,0,1
750.95,1,0.024888003982080638,78,27,1,5134.37,18,4,9,423,0,1,0,0,0,1,0
31.53,1,0.02538576406172225,25,283,1,874.93,17,2,12,320,0,0,1,0,0,0,1
315.94,1,0.024888003982080638,78,93,1,4273.99,18,4,9,402,1,0,0,0,0,1,0
490.82,1,0.02538576406172225,26,114,1,8704.27,18,3,6,522,1,0,0,0,1,0,0
2.5,1,0.02538576406172225,47,107,1,12145.27,16,4,7,472,0,0,1,1,0,0,0
958.9,1,0.0233947237431558,31,135,1,9977.49,16,1,7,489,0,1,0,0,1,0,0
348.64,1,0.023892483822797413,57,128,1,3274.96,17,4,6,514,0,0,1,0,0,1,0
